,id,finishingType,readyToMove,IsCompound,npv,npvPerMeter,totalPrice,pricePerMeter,deliveryMonth,deliveryYear,IsPrimarySale,hasRealEstateFinancing,unitType,bua,bedrooms,bathrooms,land,garage,city.nameEnglish,district.nameEnglish,region.nameEnglish,compound.nameEnglish,developer.nameEnglish,financialPlan.downPayment,financialPlan.numberOfYears,financialPlan.monthlyPayment,Calculated Price
555,618d16d650988ed12f693c05,1,1,1,6500000,18571,6500000,18571,1,2021,0,0,7,350,4,4,345,1,1,0,Greater Cairo,Dara Gardens,,6500000,0,0,5500000
104,602bbde93fa4f90011fe9057,1,1,1,16000000,45714,16000000,45714,1,2020,0,0,8,350,4,4,670,1,1,20,Greater Cairo,Allegria,Sodic,16000000,0,0,6500000
36,60365042ee06500011386331,1,1,1,6500000,18571,6500000,18571,1,2020,0,0,0,350,4,3,350,1,1,20,Greater Cairo,Karma Residence,,6200000,0,0,4500000
933,61b9c7e9981d2e9a04d9e022,0,1,1,8400000,24000,8400000,24000,11,2021,0,0,7,350,4,5,500,1,1,0,Greater Cairo,Bamboo Extension,,8400000,0,0,11000000
859,61b76f93deb36dd027186f50,1,0,1,6465296,18420,18429888,52507,3,2024,1,0,8,351,4,3,409,1,1,20,Greater Cairo,Cairo Gate,Emaar Misr,921494,8,182379,7000000
520,6193220350ac7c17e1e0e770,1,1,1,4500000,12676,4500000,12676,4,2021,0,1,1,355,4,4,355,1,3,22,Matrouh,Hacienda Bay,Palm Hills,4500000,0,0,4000000
186,613f1e10146fafde26cb8a60,0,1,1,8300000,23380,8300000,23380,1,2021,0,0,7,355,3,4,350,1,0,14,Greater Cairo,Mivida,Emaar Misr,8300000,0,0,11000000
469,61892614a0af6f15abf19153,1,1,1,14500000,40845,14500000,40845,8,2021,0,0,7,355,4,4,378,1,0,14,Greater Cairo,Mivida,Emaar Misr,14500000,0,0,5500000
514,61966f54ddc2f0889245a7bd,0,1,0,8300000,23056,8300000,23056,1,2021,0,0,8,360,4,4,800,1,0,9,Greater Cairo,,,8300000,0,0,9000000
86,603521024aefbb0011e42d28,1,1,0,3850000,10694,3850000,10694,1,2020,0,0,2,360,4,3,360,0,0,8,Greater Cairo,,,3850000,0,0,4500000
324,619268b250988ed12f6b0096,1,1,1,12250000,34028,12250000,34028,11,2021,0,0,8,360,4,5,800,1,3,22,Matrouh,Hacienda Bay,Palm Hills,12250000,0,0,15000000
725,61c09f7ca94cf2ddceea8d72,1,1,1,9399999,26111,9399999,26111,1,2021,0,0,7,360,3,4,550,1,1,20,Greater Cairo,Al Karma 4,,9399999,0,0,16000000
10,602a90b8c9f49600115ae26a,1,0,1,6700000,18611,6700000,18611,1,2020,0,0,8,360,4,3,520,1,1,0,Greater Cairo,al worood,,6700000,0,0,7000000
106,620149313a36e9b4954ec7ca,1,1,0,23000000,63889,23000000,63889,1,2021,0,0,0,360,4,3,360,1,0,23,Greater Cairo,,,23000000,0,0,4500000
542,61dc2a159d3bea3a797ebb21,0,1,1,3000000,8333,3000000,8333,1,2021,0,0,8,360,5,4,550,1,1,0,Greater Cairo,Golf Al Solimania,,3000000,0,0,7000000
588,618b135ca28227d4fdbbfc61,0,0,1,4600000,12637,4600000,12637,6,2022,0,0,1,364,4,4,364,1,3,2,Matrouh,Seashell,,4600000,0,0,4600000
852,619399079bb23202531fb8ac,1,1,1,6000000,16484,6000000,16484,1,2021,0,0,2,364,3,4,364,1,3,2,Matrouh,Seashell,,6000000,0,0,6000000
310,61a89d9ac2b2446cf3488596,1,1,1,17299998,47397,17299998,47397,12,2021,0,0,8,365,5,5,1400,1,3,22,Matrouh,Hacienda Bay,Palm Hills,17299998,0,0,15000000
240,619399df50ac7c17e1e0f945,1,1,1,19000000,52055,19000000,52055,1,2021,0,0,8,365,3,4,718,1,0,11,Greater Cairo,Uptown Cairo,Emaar Misr,19000000,0,0,16000000
471,614213064d402eb02d758f2f,1,1,1,7600000,20541,7600000,20541,9,2021,0,0,8,370,4,5,350,1,0,14,Greater Cairo,Hyde Park,HYDE PARK Development,7600000,0,0,5500000
486,619e8a500f3e38236aed6b1b,1,1,1,9500000,25676,9500000,25676,11,2021,0,0,6,370,4,5,250,1,1,20,Greater Cairo,Zayed 2000,,9500000,0,0,4000000
143,6155b495929dd58091846730,0,1,1,5500000,14865,5500000,14865,1,2021,0,0,8,370,3,3,405,1,0,14,Greater Cairo,Village Gardens Katameya,,5500000,0,0,7000000
940,618d1abe9bb23202531dc43a,1,1,1,9900000,26757,9900000,26757,4,2021,0,0,8,370,5,4,1150,1,1,0,Greater Cairo,Gardenia Park,,9900000,0,0,6500000
201,6193a71950988ed12f6b361c,0,1,1,7700000,20699,7700000,20699,1,2021,0,0,6,372,4,4,365,1,1,0,Greater Cairo,Palm Hills October,Palm Hills,7700000,0,0,7000000
762,6191b1ac9bb23202531ed24c,0,1,1,8800000,23467,8800000,23467,5,2021,0,0,6,375,5,5,585,1,1,0,Greater Cairo,Amberville,,8800000,0,0,6500000
74,603658080666060011f46176,1,1,1,11000000,29333,11000000,29333,1,2020,0,0,8,375,4,4,800,1,1,20,Greater Cairo,Gezira 1,,11000000,0,0,6500000
691,618d3a2f50ac7c17e1df19b4,1,1,1,6000000,16000,6000000,16000,8,2021,0,0,7,375,4,3,400,1,1,0,Greater Cairo,Dream Land,,6000000,0,0,7000000
306,61b9c41ac7fd090e618f28e5,0,0,1,8400000,22400,8400000,22400,6,2023,0,0,6,375,4,5,508,1,1,0,Greater Cairo,Kingsrange,,8400000,0,0,11000000
839,618d31fb50ac7c17e1df1202,0,1,1,6750000,17952,6750000,17952,1,2021,0,0,7,376,4,4,610,1,0,14,Greater Cairo,Mountain View Hyde Park,Mountain View,6750000,0,0,6500000
182,619cf195c3ac9556cc8c5257,1,1,1,25000000,65789,25000000,65789,11,2021,0,0,8,380,5,5,720,1,1,20,Greater Cairo,Al Rabwa,,25000000,0,0,15000000
982,6182c8346d16b6614cbe5959,1,1,1,10000000,26316,10000000,26316,11,2021,0,0,8,380,3,3,550,1,0,14,Greater Cairo,El Rehab Extension,talaat moustafa group,10000000,0,0,16000000
