id,finishingType,readyToMove,IsCompound,npv,npvPerMeter,totalPrice,pricePerMeter,deliveryMonth,deliveryYear,IsPrimarySale,hasRealEstateFinancing,unitType,bua,bedrooms,bathrooms,land,garage,city.nameEnglish,district.nameEnglish,region.nameEnglish,compound.nameEnglish,developer.nameEnglish,financialPlan.downPayment,financialPlan.numberOfYears,financialPlan.monthlyPayment
61d1b3e3f71e6c3484eff7f1,ff,1,1,2878500,20561,2878500,20561,1,2021,0,0,apartment,140,2,3,140,0,Cairo,New Cairo,Greater Cairo,Lake View Residence,,2878500,0,0
61c9e54d400a5a9d20c1216d,ff,1,1,4225999,25305,4225999,25305,1,2021,0,0,apartment,167,3,3,167,1,Cairo,New Cairo,Greater Cairo,Fifth Square,AlMarasem developments,4225999,0,0
618930b5c9d894e71c0b4802,ff,1,1,3150000,23684,3150000,23684,4,2021,0,0,chalet,133,3,2,133,1,North Coast,Sidi Abdel Rahman,Matrouh,Bo Islands,,3150000,0,0
61e03fc63534f823126b0d5a,ff,1,1,950000,11875,950000,11875,1,2021,0,0,chalet,80,2,2,80,0,North Coast,Al Alamein,Matrouh,Golf Porto Marina,,950000,0,0
618d163e50ac7c17e1df07e8,cs,1,1,5600000,31461,5600000,31461,1,2021,0,0,apartment,178,3,4,238,1,Giza,Sheikh Zayed City,Greater Cairo,One 16,,5600000,0,0
619e41cd0f3e38236aed56b6,ff,1,0,8000000,28986,8000000,28986,1,2021,0,0,twin house,276,3,3,385,1,Cairo,Madinaty,Greater Cairo,,,8000000,0,0
6193a59950ac7c17e1e0fbb4,cs,0,1,4749050,15320,4749050,15320,1,2022,0,0,town house,310,3,3,252,1,Giza,6th October City,Greater Cairo,Joulz,INERTIA,4749050,0,0
61c9b7c9a07c7a12e1189c58,ff,1,1,3700000,16818,3700000,16818,1,2021,0,0,apartment,220,3,3,220,1,Cairo,New Cairo,Greater Cairo,Midtown New Cairo,Better Home  ,3700000,0,0
61b0c4423582111f9e8bf3da,ff,1,1,600000,12766,600000,12766,12,2021,0,0,studio,47,1,1,47,0,North Coast,Al Alamein,Matrouh,Golf Porto Marina,,600000,0,0
619234c450988ed12f6aa553,ff,1,1,21500000,44057,21500000,44057,3,2021,0,0,villa,488,4,4,730,1,Giza,6th October City,Greater Cairo,Palm Hills Golf Views,Palm Hills,21500000,0,0
618b17cda28227d4fdbbfd5f,ff,1,1,3800000,12667,3800000,12667,8,2021,0,0,apartment,300,6,4,300,1,Cairo,Mostakbal City,Greater Cairo,Green Square,,3800000,0,0
618d279d50ac7c17e1df0f25,ff,1,1,3500000,17500,3500000,17500,1,2021,0,0,penthouse,200,3,3,200,1,Cairo,New Cairo,Greater Cairo,The Village,,3500000,0,0
61c99f845f5316dcf045e209,ff,1,1,5358000,23500,5358000,23500,1,2021,0,0,apartment,228,3,3,228,1,Cairo,New Cairo,Greater Cairo,Lake View Residence,,5358000,0,0
61cc40cb61795c05c0bf59f9,ff,1,1,2599999,22222,2599999,22222,1,2021,0,0,chalet,117,2,2,117,1,North Coast,New Alamein City,Matrouh,North Edge Towers,City Edge Developments ,2599999,0,0
